od_id,candidate_id,quality,coverage_percent,connectivity_percent,broken_connections,search_mode,recovery_used,virtual_bridge_count
OD_000034,C,recovered,86.66,100.0,0,controlled_recovery,True,0
OD_000422,C,recovered,86.66,98.84,1,controlled_recovery,True,1
OD_000320,B,review,86.67,100.0,0,strict,False,0
OD_000262,A,review,86.7,100.0,0,strict,False,0
OD_000262,B,review,86.7,100.0,0,strict,False,0
OD_000300,C,recovered,86.81,100.0,0,controlled_recovery,True,0
OD_000215,C,review,86.84,100.0,0,strict,False,0
OD_000227,A,review,86.98,100.0,0,strict,False,0
OD_000227,B,review,86.98,100.0,0,strict,False,0
OD_000227,C,review,86.98,100.0,0,strict,False,0
OD_000350,A,review,87.03,100.0,0,strict,False,0
OD_000350,B,review,87.03,100.0,0,strict,False,0
OD_000350,C,review,87.03,100.0,0,strict,False,0
OD_000516,A,review,87.03,100.0,0,strict,False,0
OD_000516,B,review,87.03,100.0,0,strict,False,0
OD_000435,A,review,87.05,100.0,0,strict,False,0
OD_000435,B,review,87.05,100.0,0,strict,False,0
OD_000433,A,review,87.07,100.0,0,strict,False,0
OD_000185,C,review,87.18,100.0,0,strict,False,0
OD_000435,C,review,87.18,100.0,0,strict,False,0
OD_000183,C,review,87.29,100.0,0,normal,False,0
OD_000299,A,review,87.31,100.0,0,strict,False,0
OD_000299,B,review,87.31,100.0,0,strict,False,0
OD_000454,A,review,87.33,100.0,0,strict,False,0
OD_000454,B,review,87.33,100.0,0,strict,False,0
OD_000159,A,review,87.43,100.0,0,normal,False,0
OD_000492,B,review,87.52,100.0,0,strict,False,0
OD_000101,B,recovered,87.6,97.56,1,controlled_recovery,True,1
OD_000027,B,review,87.62,100.0,0,strict,False,0
OD_000391,A,review,87.62,100.0,0,strict,False,0
OD_000363,A,review,87.63,100.0,0,strict,False,0
OD_000379,A,review,87.63,100.0,0,strict,False,0
OD_000379,B,review,87.63,100.0,0,strict,False,0
OD_000004,B,review,87.64,100.0,0,strict,False,0
OD_000521,C,review,87.73,100.0,0,strict,False,0
OD_000481,C,review,87.81,100.0,0,strict,False,0
OD_000572,A,review,87.84,100.0,0,strict,False,0
OD_000572,B,review,87.84,100.0,0,strict,False,0
OD_000572,C,review,87.84,100.0,0,strict,False,0
OD_000032,A,review,87.89,100.0,0,strict,False,0
OD_000032,B,review,87.89,100.0,0,strict,False,0
OD_000265,C,review,87.93,100.0,0,wide,False,0
OD_000340,B,review,87.96,100.0,0,strict,False,0
OD_000586,A,review,87.99,100.0,0,wide,False,0
OD_000586,B,review,87.99,100.0,0,wide,False,0
OD_000251,A,review,88.0,100.0,0,wide,False,0
OD_000251,B,review,88.0,100.0,0,wide,False,0
OD_000437,A,review,88.0,100.0,0,strict,False,0
OD_000437,B,review,88.0,100.0,0,strict,False,0
OD_000080,B,review,88.01,100.0,0,strict,False,0
OD_000362,A,review,88.01,100.0,0,strict,False,0
OD_000362,B,review,88.01,100.0,0,strict,False,0
OD_000206,A,review,88.02,100.0,0,strict,False,0
OD_000206,B,review,88.02,100.0,0,strict,False,0
OD_000434,C,review,88.11,100.0,0,strict,False,0
OD_000280,A,review,88.16,100.0,0,strict,False,0
OD_000280,B,review,88.16,100.0,0,strict,False,0
OD_000397,C,review,88.16,100.0,0,wide,False,0
OD_000521,A,review,88.18,100.0,0,strict,False,0
OD_000521,B,review,88.18,100.0,0,strict,False,0
OD_000481,A,review,88.27,100.0,0,strict,False,0
OD_000481,B,review,88.27,100.0,0,strict,False,0
OD_000494,B,review,88.3,100.0,0,strict,False,0
OD_000491,C,review,88.53,100.0,0,strict,False,0
OD_000046,C,recovered,88.56,100.0,0,controlled_recovery,True,0
OD_000067,C,review,88.56,100.0,0,wide,False,0
OD_000343,C,review,88.6,100.0,0,strict,False,0
OD_000292,C,review,88.63,100.0,0,wide,False,0
OD_000285,A,review,88.71,100.0,0,strict,False,0
OD_000285,B,review,88.71,100.0,0,strict,False,0
OD_000557,C,review,88.82,100.0,0,strict,False,0
OD_000008,C,recovered,88.84,100.0,0,controlled_recovery,True,0
OD_000120,C,recovered,88.89,100.0,0,controlled_recovery,True,0
OD_000053,C,review,88.91,100.0,0,wide,False,0
OD_000577,C,review,88.91,100.0,0,strict,False,0
OD_000597,A,review,88.91,100.0,0,wide,False,0
OD_000597,B,review,88.91,100.0,0,wide,False,0
OD_000390,C,review,88.92,100.0,0,strict,False,0
OD_000491,A,review,88.96,100.0,0,strict,False,0
OD_000491,B,review,88.96,100.0,0,strict,False,0
OD_000340,A,review,89.01,100.0,0,wide,False,0
OD_000433,B,review,89.01,100.0,0,strict,False,0
OD_000365,B,review,89.02,100.0,0,strict,False,0
OD_000250,A,review,89.03,100.0,0,wide,False,0
OD_000250,B,review,89.03,100.0,0,wide,False,0
OD_000316,C,review,89.04,100.0,0,wide,False,0
OD_000501,C,review,89.06,100.0,0,wide,False,0
OD_000126,B,review,89.07,100.0,0,strict,False,0
OD_000002,A,review,89.08,100.0,0,wide,False,0
OD_000367,C,recovered,89.09,100.0,0,controlled_recovery,True,0
OD_000384,C,recovered,89.09,98.31,1,controlled_recovery,True,1
OD_000406,C,review,89.11,100.0,0,wide,False,0
OD_000272,C,review,89.12,100.0,0,wide,False,0
OD_000380,A,review,89.12,100.0,0,strict,False,0
OD_000380,B,review,89.12,100.0,0,strict,False,0
OD_000035,C,review,89.15,100.0,0,wide,False,0
OD_000223,C,recovered,89.18,100.0,0,controlled_recovery,True,0
OD_000504,C,recovered,89.19,98.33,1,controlled_recovery,True,1
OD_000125,B,review,89.23,100.0,0,strict,False,0
OD_000085,B,review,89.26,100.0,0,strict,False,0
OD_000116,A,review,89.28,100.0,0,strict,False,0
OD_000116,B,review,89.28,100.0,0,strict,False,0
OD_000044,A,review,89.29,100.0,0,strict,False,0
OD_000044,B,review,89.29,100.0,0,strict,False,0
OD_000420,C,review,89.34,100.0,0,strict,False,0
OD_000083,B,review,89.39,100.0,0,strict,False,0
OD_000492,A,review,89.45,100.0,0,wide,False,0
OD_000330,A,review,89.46,100.0,0,strict,False,0
OD_000249,A,review,89.48,100.0,0,wide,False,0
OD_000025,C,review,89.53,100.0,0,normal,False,0
OD_000026,C,review,89.56,100.0,0,normal,False,0
OD_000509,C,review,89.56,100.0,0,normal,False,0
OD_000126,A,review,89.58,100.0,0,wide,False,0
OD_000126,C,review,89.58,100.0,0,wide,False,0
OD_000161,C,review,89.58,100.0,0,strict,False,0
OD_000266,A,review,89.64,100.0,0,strict,False,0
OD_000266,B,review,89.64,100.0,0,strict,False,0
OD_000266,C,review,89.64,100.0,0,strict,False,0
OD_000536,A,review,89.67,100.0,0,wide,False,0
OD_000536,B,review,89.67,100.0,0,wide,False,0
OD_000536,C,review,89.67,100.0,0,wide,False,0
OD_000494,C,review,89.68,100.0,0,wide,False,0
OD_000121,C,review,89.69,100.0,0,normal,False,0
OD_000529,A,review,89.7,100.0,0,strict,False,0
OD_000529,B,review,89.7,100.0,0,strict,False,0
OD_000389,A,review,89.72,100.0,0,wide,False,0
OD_000144,C,review,89.73,100.0,0,normal,False,0
OD_000398,C,review,89.76,100.0,0,strict,False,0
OD_000564,C,review,89.76,100.0,0,strict,False,0
OD_000575,C,review,89.77,100.0,0,strict,False,0
OD_000326,A,review,89.78,100.0,0,strict,False,0
OD_000326,B,review,89.78,100.0,0,strict,False,0
OD_000164,C,review,89.79,100.0,0,strict,False,0
OD_000089,C,review,89.8,100.0,0,normal,False,0
OD_000567,A,review,89.83,100.0,0,wide,False,0
OD_000567,B,review,89.83,100.0,0,wide,False,0
OD_000190,B,recovered,89.84,97.62,1,controlled_recovery,True,1
OD_000259,B,recovered,89.84,97.67,1,controlled_recovery,True,1
OD_000325,A,review,89.84,100.0,0,strict,False,0
OD_000325,B,review,89.84,100.0,0,strict,False,0
OD_000529,C,review,89.84,100.0,0,strict,False,0
OD_000458,A,review,89.86,100.0,0,wide,False,0
OD_000596,A,review,89.87,100.0,0,strict,False,0
OD_000596,B,review,89.87,100.0,0,strict,False,0
OD_000596,C,review,89.87,100.0,0,strict,False,0
OD_000503,A,review,89.91,100.0,0,strict,False,0
OD_000226,A,review,89.94,100.0,0,strict,False,0
OD_000510,A,review,89.94,100.0,0,wide,False,0
OD_000325,C,review,89.96,100.0,0,strict,False,0
OD_000080,A,recovered,90.08,98.8,1,controlled_recovery,True,1
OD_000172,C,recovered,90.22,97.73,1,controlled_recovery,True,1
OD_000027,A,recovered,90.32,98.73,1,controlled_recovery,True,1
OD_000004,A,recovered,90.34,98.73,1,controlled_recovery,True,1
OD_000101,A,recovered,90.53,98.73,1,controlled_recovery,True,1
OD_000413,C,recovered,90.58,98.44,1,controlled_recovery,True,1
OD_000257,B,recovered,90.59,98.0,1,controlled_recovery,True,1
OD_000581,C,recovered,90.67,98.46,1,controlled_recovery,True,1
OD_000402,C,recovered,90.78,98.41,1,controlled_recovery,True,1
OD_000344,C,recovered,90.86,98.44,1,controlled_recovery,True,1
OD_000088,A,recovered,90.98,98.72,1,controlled_recovery,True,1
OD_000210,C,recovered,91.28,98.51,1,controlled_recovery,True,1
OD_000366,C,recovered,91.32,98.51,1,controlled_recovery,True,1
OD_000443,C,recovered,91.32,98.51,1,controlled_recovery,True,1
OD_000493,C,recovered,91.35,98.53,1,controlled_recovery,True,1
OD_000143,C,recovered,91.39,98.53,1,controlled_recovery,True,1
OD_000213,C,recovered,91.4,98.53,1,controlled_recovery,True,1
OD_000283,C,recovered,91.55,98.28,1,controlled_recovery,True,1
OD_000083,A,recovered,91.64,98.84,1,controlled_recovery,True,1
OD_000282,C,recovered,91.64,98.31,1,controlled_recovery,True,1
OD_000085,A,recovered,91.66,98.84,1,controlled_recovery,True,1
OD_000184,A,recovered,91.84,98.84,1,controlled_recovery,True,1
OD_000068,A,recovered,91.87,98.72,1,controlled_recovery,True,1
OD_000010,A,recovered,92.0,98.81,1,controlled_recovery,True,1
OD_000500,C,recovered,92.04,98.31,1,controlled_recovery,True,1
OD_000225,A,recovered,92.06,98.84,1,controlled_recovery,True,1
OD_000354,A,recovered,92.06,98.78,1,controlled_recovery,True,1
OD_000430,C,recovered,92.12,98.33,1,controlled_recovery,True,1
OD_000580,C,recovered,92.27,98.41,1,controlled_recovery,True,1
OD_000024,C,recovered,92.34,98.44,1,controlled_recovery,True,1
OD_000009,A,recovered,92.45,98.86,1,controlled_recovery,True,1
OD_000076,A,recovered,92.59,98.75,1,controlled_recovery,True,1
OD_000388,C,recovered,92.59,98.46,1,controlled_recovery,True,1
OD_000259,A,recovered,92.63,98.77,1,controlled_recovery,True,1
OD_000232,C,recovered,92.66,98.48,1,controlled_recovery,True,1
OD_000228,C,recovered,92.67,98.51,1,controlled_recovery,True,1
OD_000256,C,recovered,92.7,98.51,1,controlled_recovery,True,1
OD_000201,C,recovered,92.72,98.46,1,controlled_recovery,True,1
OD_000119,A,recovered,92.73,98.84,1,controlled_recovery,True,1
OD_000190,A,recovered,92.73,98.75,1,controlled_recovery,True,1
OD_000110,C,recovered,92.74,98.53,1,controlled_recovery,True,1
OD_000255,C,recovered,92.77,98.53,1,controlled_recovery,True,1
OD_000352,C,recovered,92.79,98.48,1,controlled_recovery,True,1
OD_000172,A,recovered,93.11,98.78,1,controlled_recovery,True,1
OD_000062,A,recovered,93.15,98.75,1,controlled_recovery,True,1
OD_000021,A,recovered,93.3,98.48,1,controlled_recovery,True,1
OD_000040,A,recovered,93.3,98.85,1,controlled_recovery,True,1
OD_000257,A,recovered,93.36,98.86,1,controlled_recovery,True,1
OD_000023,A,recovered,93.42,98.78,1,controlled_recovery,True,1
OD_000003,A,recovered,93.91,98.63,1,controlled_recovery,True,1
OD_000153,A,recovered,94.35,98.48,1,controlled_recovery,True,1
OD_000198,A,recovered,94.6,98.53,1,controlled_recovery,True,1
OD_000246,A,recovered,95.3,99.23,1,controlled_recovery,True,1
OD_000199,A,recovered,95.39,99.18,1,controlled_recovery,True,1
OD_000179,A,recovered,95.54,99.24,1,controlled_recovery,True,1
OD_000030,A,recovered,95.89,99.21,1,controlled_recovery,True,1
OD_000122,A,recovered,95.89,98.57,1,controlled_recovery,True,1
OD_000406,A,recovered,96.06,98.39,1,controlled_recovery,True,1
OD_000034,A,recovered,96.07,98.41,2,controlled_recovery,True,2
OD_000300,A,recovered,96.07,98.41,2,controlled_recovery,True,2
OD_000417,A,recovered,96.07,98.41,2,controlled_recovery,True,2
OD_000501,A,recovered,96.29,98.36,1,controlled_recovery,True,1
OD_000223,A,recovered,96.34,99.24,1,controlled_recovery,True,1
OD_000265,A,recovered,96.73,98.51,1,controlled_recovery,True,1
OD_000265,B,recovered,96.73,98.51,1,controlled_recovery,True,1
OD_000199,C,recovered,96.84,99.32,1,controlled_recovery,True,1
OD_000049,A,recovered,96.99,96.97,2,controlled_recovery,True,2
OD_000049,B,recovered,96.99,96.97,2,controlled_recovery,True,2
OD_000073,A,recovered,96.99,96.97,2,controlled_recovery,True,2
OD_000073,B,recovered,96.99,96.97,2,controlled_recovery,True,2
OD_000305,A,recovered,97.0,96.97,2,controlled_recovery,True,2
OD_000179,C,recovered,97.02,99.31,1,controlled_recovery,True,1
OD_000030,C,recovered,97.34,99.34,1,controlled_recovery,True,1
OD_000316,A,recovered,97.36,98.59,1,controlled_recovery,True,1
OD_000046,A,recovered,97.5,99.15,1,controlled_recovery,True,1
OD_000112,A,recovered,97.85,99.22,1,controlled_recovery,True,1
OD_000367,A,recovered,97.86,99.25,1,controlled_recovery,True,1
OD_000022,A,recovered,97.87,99.23,1,controlled_recovery,True,1
OD_000397,A,recovered,99.02,98.51,1,controlled_recovery,True,1
OD_000022,C,recovered,99.45,99.35,1,controlled_recovery,True,1
OD_000112,C,recovered,99.45,99.35,1,controlled_recovery,True,1
OD_000139,C,recovered,99.45,99.35,1,controlled_recovery,True,1
OD_000053,A,recovered,99.48,98.65,1,controlled_recovery,True,1
OD_000053,B,recovered,99.48,98.65,1,controlled_recovery,True,1
OD_000292,A,recovered,99.49,98.51,1,controlled_recovery,True,1
OD_000019,A,recovered,99.5,98.55,1,controlled_recovery,True,1
OD_000019,B,recovered,99.5,98.55,1,controlled_recovery,True,1
OD_000035,A,recovered,99.5,98.57,1,controlled_recovery,True,1
OD_000272,A,recovered,99.5,98.59,1,controlled_recovery,True,1
OD_000272,B,recovered,99.5,98.59,1,controlled_recovery,True,1
OD_000120,A,recovered,99.86,99.3,1,controlled_recovery,True,1
