od_id,user_count,baseline_route_candidate_id,selection_reason,mapping_quality,mapping_search_mode,mapping_coverage_percent,mapping_connectivity_percent,mapping_length_ratio,matched_link_count,route_distance_m,route_time_sec,baseline_assumption
OD_000030,26,A,tmap_default_route_a,recovered,controlled_recovery,95.89,99.21,0.9595,128,24294.0,,TMAP default Route A; fallback B then C when unusable
OD_000031,26,C,default_route_unusable_fallback_c,review,strict,86.15,100.0,0.8485,14,1628.0,,TMAP default Route A; fallback B then C when unusable
OD_000032,26,A,tmap_default_route_a,review,strict,87.89,100.0,0.8912,64,11301.0,,TMAP default Route A; fallback B then C when unusable
OD_000033,26,A,tmap_default_route_a,good,strict,100.0,100.0,1.004,74,19231.0,,TMAP default Route A; fallback B then C when unusable
OD_000034,26,A,tmap_default_route_a,recovered,controlled_recovery,96.07,98.41,0.9576,127,24166.0,,TMAP default Route A; fallback B then C when unusable
OD_000035,25,A,tmap_default_route_a,recovered,controlled_recovery,99.5,98.57,1.0037,71,17322.0,,TMAP default Route A; fallback B then C when unusable
OD_000036,25,A,tmap_default_route_a,good,strict,92.51,100.0,1.1267,13,1419.0,,TMAP default Route A; fallback B then C when unusable
OD_000037,25,A,tmap_default_route_a,good,normal,96.16,100.0,0.9701,62,15866.0,,TMAP default Route A; fallback B then C when unusable
OD_000038,25,A,tmap_default_route_a,good,wide,91.3,100.0,1.0022,88,24922.0,,TMAP default Route A; fallback B then C when unusable
OD_000039,25,A,tmap_default_route_a,good,strict,97.12,100.0,0.9974,77,20843.0,,TMAP default Route A; fallback B then C when unusable
OD_000040,25,A,tmap_default_route_a,recovered,controlled_recovery,93.3,98.85,0.9684,88,18901.0,,TMAP default Route A; fallback B then C when unusable
