evaluation_id,user_id,od_id,origin_location_id,destination_location_id,planned_departure_time,adjustable_minutes,candidate_index,candidate_departure_time,offset_minutes,is_original_time,route_candidate_id,mapping_quality,mapping_search_mode,mapping_coverage_percent,mapping_connectivity_percent,mapping_length_ratio,matched_link_count,route_distance_m,route_time_sec
EVAL_000000057,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,11,18:25,-5,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000058,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,12,18:30,0,True,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000059,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,12,18:30,0,True,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000060,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,12,18:30,0,True,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000061,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,13,18:35,5,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000062,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,13,18:35,5,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000063,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,13,18:35,5,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000064,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,14,18:40,10,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000065,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,14,18:40,10,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000066,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,14,18:40,10,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000067,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,15,18:45,15,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000068,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,15,18:45,15,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000069,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,15,18:45,15,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000070,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,16,18:50,20,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000071,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,16,18:50,20,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000072,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,16,18:50,20,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000073,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,17,18:55,25,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000074,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,17,18:55,25,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000075,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,17,18:55,25,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000076,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,18,19:00,30,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000077,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,18,19:00,30,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000078,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,18,19:00,30,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000079,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,19,19:05,35,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000080,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,19,19:05,35,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000081,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,19,19:05,35,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000082,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,20,19:10,40,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000083,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,20,19:10,40,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000084,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,20,19:10,40,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000085,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,21,19:15,45,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000086,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,21,19:15,45,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000087,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,21,19:15,45,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000088,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,22,19:20,50,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000089,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,22,19:20,50,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000090,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,22,19:20,50,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000091,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,23,19:25,55,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000092,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,23,19:25,55,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000093,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,23,19:25,55,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000094,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,24,19:30,60,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000095,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,24,19:30,60,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000096,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,24,19:30,60,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000097,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,0,16:25,-60,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000098,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,0,16:25,-60,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000099,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,0,16:25,-60,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000100,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,1,16:30,-55,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000101,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,1,16:30,-55,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000102,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,1,16:30,-55,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000103,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,2,16:35,-50,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000104,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,2,16:35,-50,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000105,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,2,16:35,-50,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000106,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,3,16:40,-45,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000107,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,3,16:40,-45,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000108,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,3,16:40,-45,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000109,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,4,16:45,-40,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000110,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,4,16:45,-40,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000111,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,4,16:45,-40,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000112,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,5,16:50,-35,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000113,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,5,16:50,-35,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000114,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,5,16:50,-35,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000115,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,6,16:55,-30,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000116,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,6,16:55,-30,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000117,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,6,16:55,-30,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000118,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,7,17:00,-25,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000119,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,7,17:00,-25,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000120,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,7,17:00,-25,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000121,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,8,17:05,-20,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000122,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,8,17:05,-20,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000123,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,8,17:05,-20,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000124,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,9,17:10,-15,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000125,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,9,17:10,-15,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000126,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,9,17:10,-15,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000127,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,10,17:15,-10,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000128,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,10,17:15,-10,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000129,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,10,17:15,-10,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000130,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,11,17:20,-5,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000131,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,11,17:20,-5,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000132,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,11,17:20,-5,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000133,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,12,17:25,0,True,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000134,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,12,17:25,0,True,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000135,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,12,17:25,0,True,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000136,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,13,17:30,5,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000137,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,13,17:30,5,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000138,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,13,17:30,5,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000139,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,14,17:35,10,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000140,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,14,17:35,10,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000141,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,14,17:35,10,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000142,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,15,17:40,15,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000143,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,15,17:40,15,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000144,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,15,17:40,15,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000145,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,16,17:45,20,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000146,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,16,17:45,20,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000147,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,16,17:45,20,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000148,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,17,17:50,25,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000149,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,17,17:50,25,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000150,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,17,17:50,25,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000151,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,18,17:55,30,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000152,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,18,17:55,30,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000153,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,18,17:55,30,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000154,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,19,18:00,35,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000155,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,19,18:00,35,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000156,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,19,18:00,35,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000157,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,20,18:05,40,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000158,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,20,18:05,40,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000159,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,20,18:05,40,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000160,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,21,18:10,45,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000161,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,21,18:10,45,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000162,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,21,18:10,45,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000163,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,22,18:15,50,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000164,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,22,18:15,50,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000165,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,22,18:15,50,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000166,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,23,18:20,55,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000167,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,23,18:20,55,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000168,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,23,18:20,55,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000169,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,24,18:25,60,False,A,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000170,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,24,18:25,60,False,B,good,strict,95.82,100.0,0.9665,64,17232,
EVAL_000000171,user_00016,OD_000025,ORG_005,EXT_001,17:25,60,24,18:25,60,False,C,review,normal,89.53,100.0,0.9715,109,15248,
EVAL_000000172,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,0,18:00,-45,False,A,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242,
EVAL_000000173,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,0,18:00,-45,False,B,good,wide,93.16,100.0,1.0055,90,27030,
EVAL_000000174,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,0,18:00,-45,False,C,good,strict,99.23,100.0,0.9961,169,22239,
EVAL_000000175,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,1,18:05,-40,False,A,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242,
EVAL_000000176,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,1,18:05,-40,False,B,good,wide,93.16,100.0,1.0055,90,27030,
EVAL_000000177,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,1,18:05,-40,False,C,good,strict,99.23,100.0,0.9961,169,22239,
EVAL_000000178,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,2,18:10,-35,False,A,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242,
EVAL_000000179,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,2,18:10,-35,False,B,good,wide,93.16,100.0,1.0055,90,27030,
EVAL_000000180,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,2,18:10,-35,False,C,good,strict,99.23,100.0,0.9961,169,22239,
EVAL_000000181,user_00022,OD_000010,ORG_012,EXT_013,18:45,45,3,18:15,-30,False,A,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242,
