od_id,origin_location_id,origin_name,destination_location_id,destination_name,destination_region,user_count
OD_000029,ORG_009,스마일게이트,EXT_001,강남역,seoul,26
OD_000030,ORG_011,유라코퍼레이션,EXT_009,수원역,suwon,26
OD_000031,ORG_011,유라코퍼레이션,HOME_019,판교알파리움2단지,seongnam,26
OD_000032,ORG_012,한국파스퇴르연구소,EXT_010,죽전역,yongin,26
OD_000033,ORG_013,차바이오컴플렉스,EXT_012,경기광주역,gwangju,26
OD_000034,ORG_014,경기창조경제혁신센터,EXT_009,수원역,suwon,26
OD_000035,ORG_001,LIG넥스원 판교하우스,EXT_008,광교중앙역,suwon,25
OD_000036,ORG_003,엔씨소프트 판교 R&D센터,HOME_009,판교백현마을7단지,seongnam,25
OD_000037,ORG_004,안랩,EXT_004,삼성역,seoul,25
OD_000038,ORG_004,안랩,EXT_013,미사역,hanam,25
OD_000039,ORG_005,NHN Play Museum,EXT_002,잠실역,seoul,25
OD_000040,ORG_007,위메이드 판교 사옥,EXT_007,사당역,seoul,25
OD_000041,ORG_008,카카오게임즈,HOME_021,성남 센트럴타운,seongnam,25
OD_000042,ORG_010,웹젠,EXT_002,잠실역,seoul,25
OD_000043,ORG_010,웹젠,HOME_007,판교원마을7단지,seongnam,25
OD_000044,ORG_010,웹젠,HOME_012,산운12단지 판교센트럴포레,seongnam,25
OD_000045,ORG_011,유라코퍼레이션,EXT_005,선릉역,seoul,25
OD_000046,ORG_015,유스페이스1,EXT_009,수원역,suwon,25
OD_000047,ORG_015,유스페이스1,HOME_024,성남두산,seongnam,25
OD_000048,ORG_004,안랩,EXT_005,선릉역,seoul,24
OD_000049,ORG_005,NHN Play Museum,EXT_008,광교중앙역,suwon,24
OD_000050,ORG_005,NHN Play Museum,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,24
OD_000051,ORG_005,NHN Play Museum,HOME_024,성남두산,seongnam,24
OD_000052,ORG_007,위메이드 판교 사옥,EXT_001,강남역,seoul,24
OD_000053,ORG_007,위메이드 판교 사옥,EXT_008,광교중앙역,suwon,24
OD_000054,ORG_007,위메이드 판교 사옥,EXT_012,경기광주역,gwangju,24
OD_000055,ORG_010,웹젠,HOME_021,성남 센트럴타운,seongnam,24
OD_000056,ORG_011,유라코퍼레이션,HOME_003,봇들마을3단지아파트,seongnam,24
OD_000057,ORG_013,차바이오컴플렉스,EXT_007,사당역,seoul,24
OD_000058,ORG_013,차바이오컴플렉스,EXT_011,기흥역,yongin,24
OD_000059,ORG_001,LIG넥스원 판교하우스,EXT_005,선릉역,seoul,23
OD_000060,ORG_002,넥슨코리아,EXT_003,수서역,seoul,23
OD_000061,ORG_003,엔씨소프트 판교 R&D센터,EXT_004,삼성역,seoul,23
OD_000062,ORG_003,엔씨소프트 판교 R&D센터,EXT_007,사당역,seoul,23
OD_000063,ORG_003,엔씨소프트 판교 R&D센터,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,23
OD_000064,ORG_004,안랩,EXT_012,경기광주역,gwangju,23
OD_000065,ORG_007,위메이드 판교 사옥,EXT_011,기흥역,yongin,23
OD_000066,ORG_007,위메이드 판교 사옥,HOME_009,판교백현마을7단지,seongnam,23
OD_000067,ORG_008,카카오게임즈,EXT_008,광교중앙역,suwon,23
OD_000068,ORG_009,스마일게이트,EXT_013,미사역,hanam,23
OD_000069,ORG_010,웹젠,EXT_005,선릉역,seoul,23
OD_000070,ORG_010,웹젠,EXT_010,죽전역,yongin,23
OD_000071,ORG_011,유라코퍼레이션,EXT_012,경기광주역,gwangju,23
OD_000072,ORG_012,한국파스퇴르연구소,HOME_016,산운마을6단지신동아파밀리에,seongnam,23
OD_000073,ORG_014,경기창조경제혁신센터,EXT_008,광교중앙역,suwon,23
OD_000074,ORG_014,경기창조경제혁신센터,EXT_011,기흥역,yongin,23
OD_000075,ORG_015,유스페이스1,EXT_002,잠실역,seoul,23
OD_000076,ORG_001,LIG넥스원 판교하우스,EXT_013,미사역,hanam,22
OD_000077,ORG_001,LIG넥스원 판교하우스,HOME_017,파크타운아파트,seongnam,22
OD_000078,ORG_002,넥슨코리아,HOME_004,봇들마을4단지,seongnam,22
OD_000079,ORG_003,엔씨소프트 판교 R&D센터,HOME_022,성남단대푸르지오,seongnam,22
OD_000080,ORG_004,안랩,EXT_007,사당역,seoul,22
OD_000081,ORG_004,안랩,HOME_003,봇들마을3단지아파트,seongnam,22
OD_000082,ORG_005,NHN Play Museum,EXT_003,수서역,seoul,22
OD_000083,ORG_005,NHN Play Museum,EXT_013,미사역,hanam,22
OD_000084,ORG_006,네오위즈 판교타워,EXT_002,잠실역,seoul,22
OD_000085,ORG_006,네오위즈 판교타워,EXT_013,미사역,hanam,22
OD_000086,ORG_008,카카오게임즈,HOME_013,산운마을11단지판교포레라움아파트,seongnam,22
OD_000087,ORG_010,웹젠,EXT_006,교대역,seoul,22
OD_000088,ORG_011,유라코퍼레이션,EXT_013,미사역,hanam,22
OD_000089,ORG_012,한국파스퇴르연구소,EXT_001,강남역,seoul,22
OD_000090,ORG_012,한국파스퇴르연구소,EXT_003,수서역,seoul,22
OD_000091,ORG_012,한국파스퇴르연구소,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,22
OD_000092,ORG_013,차바이오컴플렉스,EXT_006,교대역,seoul,22
OD_000093,ORG_013,차바이오컴플렉스,HOME_025,산성역 포레스티아 아파트,seongnam,22
OD_000094,ORG_014,경기창조경제혁신센터,EXT_002,잠실역,seoul,22
OD_000095,ORG_014,경기창조경제혁신센터,EXT_004,삼성역,seoul,22
OD_000096,ORG_015,유스페이스1,EXT_003,수서역,seoul,22
OD_000097,ORG_001,LIG넥스원 판교하우스,HOME_016,산운마을6단지신동아파밀리에,seongnam,21
OD_000098,ORG_003,엔씨소프트 판교 R&D센터,EXT_001,강남역,seoul,21
OD_000099,ORG_003,엔씨소프트 판교 R&D센터,EXT_012,경기광주역,gwangju,21
OD_000100,ORG_005,NHN Play Museum,EXT_004,삼성역,seoul,21
OD_000101,ORG_005,NHN Play Museum,EXT_007,사당역,seoul,21
OD_000102,ORG_005,NHN Play Museum,EXT_011,기흥역,yongin,21
OD_000103,ORG_006,네오위즈 판교타워,EXT_010,죽전역,yongin,21
OD_000104,ORG_006,네오위즈 판교타워,HOME_006,백현마을5단지(주공),seongnam,21
OD_000105,ORG_007,위메이드 판교 사옥,EXT_003,수서역,seoul,21
OD_000106,ORG_008,카카오게임즈,EXT_010,죽전역,yongin,21
OD_000107,ORG_009,스마일게이트,EXT_002,잠실역,seoul,21
OD_000108,ORG_009,스마일게이트,EXT_006,교대역,seoul,21
OD_000109,ORG_010,웹젠,EXT_001,강남역,seoul,21
OD_000110,ORG_010,웹젠,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,21
OD_000111,ORG_011,유라코퍼레이션,HOME_018,판교 알파리움1단지,seongnam,21
OD_000112,ORG_012,한국파스퇴르연구소,EXT_009,수원역,suwon,21
OD_000113,ORG_014,경기창조경제혁신센터,HOME_023,성남동어울림아파트,seongnam,21
OD_000114,ORG_015,유스페이스1,EXT_012,경기광주역,gwangju,21
OD_000115,ORG_015,유스페이스1,HOME_002,판교푸르지오그랑블,seongnam,21
OD_000116,ORG_015,유스페이스1,HOME_009,판교백현마을7단지,seongnam,21
OD_000117,ORG_001,LIG넥스원 판교하우스,EXT_001,강남역,seoul,20
OD_000118,ORG_002,넥슨코리아,EXT_005,선릉역,seoul,20
OD_000119,ORG_002,넥슨코리아,EXT_013,미사역,hanam,20
OD_000120,ORG_003,엔씨소프트 판교 R&D센터,EXT_009,수원역,suwon,20
OD_000121,ORG_004,안랩,EXT_001,강남역,seoul,20
OD_000122,ORG_004,안랩,EXT_008,광교중앙역,suwon,20
OD_000123,ORG_005,NHN Play Museum,EXT_005,선릉역,seoul,20
OD_000124,ORG_005,NHN Play Museum,EXT_010,죽전역,yongin,20
OD_000125,ORG_005,NHN Play Museum,HOME_012,산운12단지 판교센트럴포레,seongnam,20
OD_000126,ORG_005,NHN Play Museum,HOME_014,산운마을13단지,seongnam,20
OD_000127,ORG_006,네오위즈 판교타워,EXT_003,수서역,seoul,20
OD_000128,ORG_006,네오위즈 판교타워,EXT_006,교대역,seoul,20
OD_000129,ORG_006,네오위즈 판교타워,HOME_021,성남 센트럴타운,seongnam,20
OD_000130,ORG_007,위메이드 판교 사옥,HOME_016,산운마을6단지신동아파밀리에,seongnam,20
OD_000131,ORG_008,카카오게임즈,EXT_001,강남역,seoul,20
OD_000132,ORG_008,카카오게임즈,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,20
OD_000133,ORG_009,스마일게이트,HOME_016,산운마을6단지신동아파밀리에,seongnam,20
OD_000134,ORG_010,웹젠,HOME_022,성남단대푸르지오,seongnam,20
OD_000135,ORG_011,유라코퍼레이션,EXT_010,죽전역,yongin,20
OD_000136,ORG_012,한국파스퇴르연구소,EXT_011,기흥역,yongin,20
OD_000137,ORG_013,차바이오컴플렉스,EXT_004,삼성역,seoul,20
OD_000138,ORG_013,차바이오컴플렉스,EXT_005,선릉역,seoul,20
OD_000139,ORG_013,차바이오컴플렉스,EXT_009,수원역,suwon,20
OD_000140,ORG_013,차바이오컴플렉스,HOME_003,봇들마을3단지아파트,seongnam,20
OD_000141,ORG_014,경기창조경제혁신센터,EXT_010,죽전역,yongin,20
OD_000142,ORG_014,경기창조경제혁신센터,HOME_025,산성역 포레스티아 아파트,seongnam,20
OD_000143,ORG_014,경기창조경제혁신센터,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,20
OD_000144,ORG_015,유스페이스1,EXT_001,강남역,seoul,20
OD_000145,ORG_015,유스페이스1,HOME_017,파크타운아파트,seongnam,20
OD_000146,ORG_015,유스페이스1,HOME_025,산성역 포레스티아 아파트,seongnam,20
OD_000147,ORG_001,LIG넥스원 판교하우스,EXT_007,사당역,seoul,19
OD_000148,ORG_001,LIG넥스원 판교하우스,HOME_010,판교백현마을8단지,seongnam,19
OD_000149,ORG_001,LIG넥스원 판교하우스,HOME_011,봇들마을휴먼시아8단지,seongnam,19
OD_000150,ORG_001,LIG넥스원 판교하우스,HOME_012,산운12단지 판교센트럴포레,seongnam,19
OD_000151,ORG_001,LIG넥스원 판교하우스,HOME_022,성남단대푸르지오,seongnam,19
OD_000152,ORG_002,넥슨코리아,EXT_004,삼성역,seoul,19
OD_000153,ORG_003,엔씨소프트 판교 R&D센터,EXT_006,교대역,seoul,19
OD_000154,ORG_003,엔씨소프트 판교 R&D센터,HOME_011,봇들마을휴먼시아8단지,seongnam,19
OD_000155,ORG_003,엔씨소프트 판교 R&D센터,HOME_016,산운마을6단지신동아파밀리에,seongnam,19
OD_000156,ORG_004,안랩,EXT_002,잠실역,seoul,19
OD_000157,ORG_004,안랩,EXT_006,교대역,seoul,19
OD_000158,ORG_004,안랩,HOME_002,판교푸르지오그랑블,seongnam,19
OD_000159,ORG_004,안랩,HOME_023,성남동어울림아파트,seongnam,19
OD_000160,ORG_005,NHN Play Museum,EXT_006,교대역,seoul,19
OD_000161,ORG_005,NHN Play Museum,HOME_003,봇들마을3단지아파트,seongnam,19
OD_000162,ORG_006,네오위즈 판교타워,EXT_005,선릉역,seoul,19
OD_000163,ORG_006,네오위즈 판교타워,HOME_002,판교푸르지오그랑블,seongnam,19
OD_000164,ORG_006,네오위즈 판교타워,HOME_003,봇들마을3단지아파트,seongnam,19
OD_000165,ORG_006,네오위즈 판교타워,HOME_004,봇들마을4단지,seongnam,19
OD_000166,ORG_006,네오위즈 판교타워,HOME_007,판교원마을7단지,seongnam,19
OD_000167,ORG_006,네오위즈 판교타워,HOME_019,판교알파리움2단지,seongnam,19
OD_000168,ORG_007,위메이드 판교 사옥,EXT_004,삼성역,seoul,19
OD_000169,ORG_007,위메이드 판교 사옥,HOME_013,산운마을11단지판교포레라움아파트,seongnam,19
OD_000170,ORG_008,카카오게임즈,EXT_004,삼성역,seoul,19
OD_000171,ORG_008,카카오게임즈,EXT_006,교대역,seoul,19
OD_000172,ORG_008,카카오게임즈,EXT_007,사당역,seoul,19
OD_000173,ORG_008,카카오게임즈,HOME_001,성남판교백현마을2단지,seongnam,19
OD_000174,ORG_008,카카오게임즈,HOME_002,판교푸르지오그랑블,seongnam,19
OD_000175,ORG_008,카카오게임즈,HOME_003,봇들마을3단지아파트,seongnam,19
OD_000176,ORG_008,카카오게임즈,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,19
OD_000177,ORG_009,스마일게이트,HOME_011,봇들마을휴먼시아8단지,seongnam,19
OD_000178,ORG_010,웹젠,EXT_003,수서역,seoul,19
OD_000179,ORG_010,웹젠,EXT_009,수원역,suwon,19
OD_000180,ORG_010,웹젠,HOME_003,봇들마을3단지아파트,seongnam,19
OD_000181,ORG_010,웹젠,HOME_016,산운마을6단지신동아파밀리에,seongnam,19
OD_000182,ORG_010,웹젠,HOME_023,성남동어울림아파트,seongnam,19
OD_000183,ORG_011,유라코퍼레이션,EXT_001,강남역,seoul,19
OD_000184,ORG_011,유라코퍼레이션,EXT_007,사당역,seoul,19
OD_000185,ORG_011,유라코퍼레이션,HOME_005,봇들마을7단지,seongnam,19
OD_000186,ORG_011,유라코퍼레이션,HOME_009,판교백현마을7단지,seongnam,19
OD_000187,ORG_012,한국파스퇴르연구소,EXT_006,교대역,seoul,19
OD_000188,ORG_012,한국파스퇴르연구소,HOME_011,봇들마을휴먼시아8단지,seongnam,19
OD_000189,ORG_014,경기창조경제혁신센터,HOME_001,성남판교백현마을2단지,seongnam,19
OD_000190,ORG_015,유스페이스1,EXT_007,사당역,seoul,19
OD_000191,ORG_015,유스페이스1,EXT_013,미사역,hanam,19
OD_000192,ORG_015,유스페이스1,HOME_001,성남판교백현마을2단지,seongnam,19
OD_000193,ORG_015,유스페이스1,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,19
OD_000194,ORG_015,유스페이스1,HOME_023,성남동어울림아파트,seongnam,19
OD_000195,ORG_001,LIG넥스원 판교하우스,EXT_012,경기광주역,gwangju,18
OD_000196,ORG_001,LIG넥스원 판교하우스,HOME_019,판교알파리움2단지,seongnam,18
OD_000197,ORG_001,LIG넥스원 판교하우스,HOME_021,성남 센트럴타운,seongnam,18
OD_000198,ORG_002,넥슨코리아,EXT_006,교대역,seoul,18
OD_000199,ORG_002,넥슨코리아,EXT_009,수원역,suwon,18
OD_000200,ORG_002,넥슨코리아,HOME_005,봇들마을7단지,seongnam,18
OD_000201,ORG_002,넥슨코리아,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,18
OD_000202,ORG_003,엔씨소프트 판교 R&D센터,EXT_002,잠실역,seoul,18
OD_000203,ORG_003,엔씨소프트 판교 R&D센터,EXT_010,죽전역,yongin,18
OD_000204,ORG_003,엔씨소프트 판교 R&D센터,HOME_007,판교원마을7단지,seongnam,18
OD_000205,ORG_004,안랩,EXT_011,기흥역,yongin,18
OD_000206,ORG_004,안랩,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,18
OD_000207,ORG_004,안랩,HOME_016,산운마을6단지신동아파밀리에,seongnam,18
OD_000208,ORG_004,안랩,HOME_022,성남단대푸르지오,seongnam,18
OD_000209,ORG_005,NHN Play Museum,HOME_006,백현마을5단지(주공),seongnam,18
OD_000210,ORG_005,NHN Play Museum,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,18
OD_000211,ORG_006,네오위즈 판교타워,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,18
OD_000212,ORG_006,네오위즈 판교타워,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,18
OD_000213,ORG_006,네오위즈 판교타워,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,18
OD_000214,ORG_007,위메이드 판교 사옥,EXT_010,죽전역,yongin,18
OD_000215,ORG_007,위메이드 판교 사옥,HOME_017,파크타운아파트,seongnam,18
OD_000216,ORG_007,위메이드 판교 사옥,HOME_024,성남두산,seongnam,18
OD_000217,ORG_008,카카오게임즈,HOME_005,봇들마을7단지,seongnam,18
OD_000218,ORG_008,카카오게임즈,HOME_007,판교원마을7단지,seongnam,18
OD_000219,ORG_008,카카오게임즈,HOME_019,판교알파리움2단지,seongnam,18
OD_000220,ORG_008,카카오게임즈,HOME_025,산성역 포레스티아 아파트,seongnam,18
OD_000221,ORG_009,스마일게이트,EXT_003,수서역,seoul,18
OD_000222,ORG_009,스마일게이트,EXT_004,삼성역,seoul,18
OD_000223,ORG_009,스마일게이트,EXT_009,수원역,suwon,18
OD_000224,ORG_009,스마일게이트,EXT_012,경기광주역,gwangju,18
OD_000225,ORG_010,웹젠,EXT_013,미사역,hanam,18
OD_000226,ORG_010,웹젠,HOME_004,봇들마을4단지,seongnam,18
OD_000227,ORG_010,웹젠,HOME_014,산운마을13단지,seongnam,18
OD_000228,ORG_010,웹젠,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,18
OD_000229,ORG_011,유라코퍼레이션,EXT_006,교대역,seoul,18
OD_000230,ORG_011,유라코퍼레이션,EXT_011,기흥역,yongin,18
OD_000231,ORG_012,한국파스퇴르연구소,EXT_005,선릉역,seoul,18
OD_000232,ORG_012,한국파스퇴르연구소,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,18
OD_000233,ORG_013,차바이오컴플렉스,EXT_003,수서역,seoul,18
OD_000234,ORG_013,차바이오컴플렉스,EXT_010,죽전역,yongin,18
OD_000235,ORG_013,차바이오컴플렉스,HOME_001,성남판교백현마을2단지,seongnam,18
OD_000236,ORG_013,차바이오컴플렉스,HOME_002,판교푸르지오그랑블,seongnam,18
OD_000237,ORG_013,차바이오컴플렉스,HOME_006,백현마을5단지(주공),seongnam,18
OD_000238,ORG_013,차바이오컴플렉스,HOME_011,봇들마을휴먼시아8단지,seongnam,18
OD_000239,ORG_015,유스페이스1,EXT_010,죽전역,yongin,18
OD_000240,ORG_001,LIG넥스원 판교하우스,EXT_004,삼성역,seoul,17
OD_000241,ORG_001,LIG넥스원 판교하우스,HOME_013,산운마을11단지판교포레라움아파트,seongnam,17
OD_000242,ORG_002,넥슨코리아,EXT_002,잠실역,seoul,17
OD_000243,ORG_002,넥슨코리아,EXT_010,죽전역,yongin,17
OD_000244,ORG_003,엔씨소프트 판교 R&D센터,EXT_003,수서역,seoul,17
OD_000245,ORG_003,엔씨소프트 판교 R&D센터,HOME_024,성남두산,seongnam,17
OD_000246,ORG_004,안랩,EXT_009,수원역,suwon,17
OD_000247,ORG_004,안랩,EXT_010,죽전역,yongin,17
OD_000248,ORG_004,안랩,HOME_011,봇들마을휴먼시아8단지,seongnam,17
OD_000249,ORG_006,네오위즈 판교타워,HOME_013,산운마을11단지판교포레라움아파트,seongnam,17
OD_000250,ORG_006,네오위즈 판교타워,HOME_016,산운마을6단지신동아파밀리에,seongnam,17
OD_000251,ORG_006,네오위즈 판교타워,HOME_020,판교대방노블랜드,seongnam,17
OD_000252,ORG_007,위메이드 판교 사옥,HOME_001,성남판교백현마을2단지,seongnam,17
OD_000253,ORG_007,위메이드 판교 사옥,HOME_022,성남단대푸르지오,seongnam,17
OD_000254,ORG_008,카카오게임즈,HOME_014,산운마을13단지,seongnam,17
OD_000255,ORG_008,카카오게임즈,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,17
OD_000256,ORG_008,카카오게임즈,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,17
OD_000257,ORG_009,스마일게이트,EXT_007,사당역,seoul,17
OD_000258,ORG_009,스마일게이트,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,17
OD_000259,ORG_010,웹젠,EXT_007,사당역,seoul,17
OD_000260,ORG_010,웹젠,HOME_009,판교백현마을7단지,seongnam,17
OD_000261,ORG_010,웹젠,HOME_011,봇들마을휴먼시아8단지,seongnam,17
OD_000262,ORG_010,웹젠,HOME_013,산운마을11단지판교포레라움아파트,seongnam,17
OD_000263,ORG_010,웹젠,HOME_018,판교 알파리움1단지,seongnam,17
OD_000264,ORG_011,유라코퍼레이션,EXT_004,삼성역,seoul,17
OD_000265,ORG_011,유라코퍼레이션,EXT_008,광교중앙역,suwon,17
OD_000266,ORG_011,유라코퍼레이션,HOME_014,산운마을13단지,seongnam,17
OD_000267,ORG_012,한국파스퇴르연구소,HOME_003,봇들마을3단지아파트,seongnam,17
OD_000268,ORG_012,한국파스퇴르연구소,HOME_006,백현마을5단지(주공),seongnam,17
OD_000269,ORG_012,한국파스퇴르연구소,HOME_013,산운마을11단지판교포레라움아파트,seongnam,17
OD_000270,ORG_012,한국파스퇴르연구소,HOME_022,성남단대푸르지오,seongnam,17
OD_000271,ORG_013,차바이오컴플렉스,EXT_002,잠실역,seoul,17
OD_000272,ORG_013,차바이오컴플렉스,EXT_008,광교중앙역,suwon,17
OD_000273,ORG_013,차바이오컴플렉스,HOME_009,판교백현마을7단지,seongnam,17
OD_000274,ORG_013,차바이오컴플렉스,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,17
OD_000275,ORG_013,차바이오컴플렉스,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,17
OD_000276,ORG_014,경기창조경제혁신센터,EXT_005,선릉역,seoul,17
OD_000277,ORG_014,경기창조경제혁신센터,HOME_004,봇들마을4단지,seongnam,17
OD_000278,ORG_014,경기창조경제혁신센터,HOME_010,판교백현마을8단지,seongnam,17
OD_000279,ORG_014,경기창조경제혁신센터,HOME_022,성남단대푸르지오,seongnam,17
OD_000280,ORG_001,LIG넥스원 판교하우스,HOME_018,판교 알파리움1단지,seongnam,16
OD_000281,ORG_001,LIG넥스원 판교하우스,HOME_024,성남두산,seongnam,16
OD_000282,ORG_001,LIG넥스원 판교하우스,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,16
OD_000283,ORG_001,LIG넥스원 판교하우스,HOME_027,신흥역 하늘채 랜더스원 4단지,seongnam,16
OD_000284,ORG_002,넥슨코리아,EXT_001,강남역,seoul,16
OD_000285,ORG_002,넥슨코리아,HOME_001,성남판교백현마을2단지,seongnam,16
OD_000286,ORG_002,넥슨코리아,HOME_006,백현마을5단지(주공),seongnam,16
OD_000287,ORG_002,넥슨코리아,HOME_016,산운마을6단지신동아파밀리에,seongnam,16
OD_000288,ORG_002,넥슨코리아,HOME_019,판교알파리움2단지,seongnam,16
OD_000289,ORG_002,넥슨코리아,HOME_022,성남단대푸르지오,seongnam,16
OD_000290,ORG_002,넥슨코리아,HOME_023,성남동어울림아파트,seongnam,16
OD_000291,ORG_002,넥슨코리아,HOME_025,산성역 포레스티아 아파트,seongnam,16
OD_000292,ORG_003,엔씨소프트 판교 R&D센터,EXT_008,광교중앙역,suwon,16
OD_000293,ORG_003,엔씨소프트 판교 R&D센터,EXT_011,기흥역,yongin,16
OD_000294,ORG_003,엔씨소프트 판교 R&D센터,HOME_004,봇들마을4단지,seongnam,16
OD_000295,ORG_003,엔씨소프트 판교 R&D센터,HOME_014,산운마을13단지,seongnam,16
OD_000296,ORG_003,엔씨소프트 판교 R&D센터,HOME_023,성남동어울림아파트,seongnam,16
OD_000297,ORG_004,안랩,HOME_004,봇들마을4단지,seongnam,16
OD_000298,ORG_004,안랩,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,16
OD_000299,ORG_004,안랩,HOME_017,파크타운아파트,seongnam,16
OD_000300,ORG_005,NHN Play Museum,EXT_009,수원역,suwon,16
OD_000301,ORG_005,NHN Play Museum,EXT_012,경기광주역,gwangju,16
OD_000302,ORG_005,NHN Play Museum,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,16
OD_000303,ORG_005,NHN Play Museum,HOME_010,판교백현마을8단지,seongnam,16
OD_000304,ORG_006,네오위즈 판교타워,EXT_004,삼성역,seoul,16
OD_000305,ORG_006,네오위즈 판교타워,EXT_008,광교중앙역,suwon,16
OD_000306,ORG_006,네오위즈 판교타워,HOME_001,성남판교백현마을2단지,seongnam,16
OD_000307,ORG_006,네오위즈 판교타워,HOME_005,봇들마을7단지,seongnam,16
OD_000308,ORG_006,네오위즈 판교타워,HOME_023,성남동어울림아파트,seongnam,16
OD_000309,ORG_007,위메이드 판교 사옥,EXT_002,잠실역,seoul,16
OD_000310,ORG_007,위메이드 판교 사옥,HOME_002,판교푸르지오그랑블,seongnam,16
OD_000311,ORG_007,위메이드 판교 사옥,HOME_007,판교원마을7단지,seongnam,16
OD_000312,ORG_007,위메이드 판교 사옥,HOME_010,판교백현마을8단지,seongnam,16
OD_000313,ORG_007,위메이드 판교 사옥,HOME_012,산운12단지 판교센트럴포레,seongnam,16
OD_000314,ORG_007,위메이드 판교 사옥,HOME_021,성남 센트럴타운,seongnam,16
OD_000315,ORG_008,카카오게임즈,HOME_016,산운마을6단지신동아파밀리에,seongnam,16
OD_000316,ORG_009,스마일게이트,EXT_008,광교중앙역,suwon,16
OD_000317,ORG_009,스마일게이트,HOME_005,봇들마을7단지,seongnam,16
OD_000318,ORG_009,스마일게이트,HOME_008,판교봇들마을9단지금호어울림아파트,seongnam,16
OD_000319,ORG_009,스마일게이트,HOME_010,판교백현마을8단지,seongnam,16
OD_000320,ORG_009,스마일게이트,HOME_018,판교 알파리움1단지,seongnam,16
OD_000321,ORG_009,스마일게이트,HOME_022,성남단대푸르지오,seongnam,16
OD_000322,ORG_009,스마일게이트,HOME_025,산성역 포레스티아 아파트,seongnam,16
OD_000323,ORG_010,웹젠,HOME_025,산성역 포레스티아 아파트,seongnam,16
OD_000324,ORG_011,유라코퍼레이션,HOME_001,성남판교백현마을2단지,seongnam,16
