source_id,route_id,candidate_id,LINK_ID,link_order,route_link_length_m,inside_seongnam,seongnam_position,route_nodelink_dataset
OD_000004,OD_000004_A,A,1210000723,20,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000721,21,808.13,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000702,22,128.11,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002001,23,226.57,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002002,24,15.03,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002005,25,66.41,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002004,26,35.02,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002003,27,239.91,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002900,28,288.56,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002903,29,77.06,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002904,30,426.87,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002902,31,110.09,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002901,32,174.84,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002905,33,39.94,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002906,34,874.2,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210003700,35,331.88,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210044700,36,146.1,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210044500,37,165.14,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210043900,38,98.71,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210043901,39,21.6,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014202,40,97.46,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014204,41,12.0,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014201,42,84.36,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014207,43,119.86,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014208,44,124.24,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014205,45,46.27,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014206,46,32.11,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014203,47,12.1,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013404,48,131.91,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013409,49,23.01,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013406,50,14.55,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013405,51,170.14,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013408,52,16.47,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013402,53,105.9,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210013407,54,12.06,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012401,55,121.74,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012404,56,135.28,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012407,57,174.35,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012406,58,62.21,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012405,59,65.93,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012403,60,67.43,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210012402,61,12.2,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210011001,62,237.14,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210011003,63,12.0,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210011002,64,37.79,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210011005,65,230.75,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210011004,66,12.01,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009903,67,122.68,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009909,68,301.64,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009918,69,301.64,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009913,70,114.04,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009904,71,12.14,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009902,72,143.84,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009906,73,144.24,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009910,74,95.95,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009908,75,114.21,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009915,76,115.44,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210009905,77,12.01,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210178200,78,325.35,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210178201,79,325.33,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060194803,0,12.05,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060194802,1,224.15,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060181600,2,399.36,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060181601,3,5.68,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060185300,4,232.57,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060200900,5,150.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060274800,6,130.76,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2060272900,7,858.04,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040389500,8,600.86,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040389501,9,600.86,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040388700,10,514.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040388701,11,514.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040412000,12,907.98,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040412002,13,614.4,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040412004,14,53.91,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,2040412003,15,239.67,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210177500,16,612.06,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210177501,17,610.9,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210000711,18,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210000722,19,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210000723,20,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210000721,21,808.13,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210000702,22,128.11,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210002001,23,226.57,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210002002,24,15.03,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210002005,25,66.41,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210002004,26,35.02,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210002300,27,287.03,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210181101,28,839.7,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210072600,29,952.42,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210072400,30,492.23,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210072200,31,908.47,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210072201,32,908.47,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210072202,33,908.47,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210071600,34,446.22,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210008111,35,274.76,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210008136,36,272.54,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210008133,37,10.59,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210008103,38,57.43,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210008132,39,24.2,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210010905,40,12.02,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_B,B,1210013208,41,24.04,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
